Initial upper_bound: 7589151.9, lower_bound: 1442895.9, init_target_latency: 4516023.9, diff_threshold_ns: 1000000
Search segment 1, latency: 12900348.67, target: 4516023.9, partition: [18 42 71  1], latencies(ns): [ 4464641 12900348 34056112   580337]
Search segment 1, latency: 12352515.18, target: 4516023.9, partition: [18 41 72  1], latencies(ns): [ 4464641 12352515 34514952   580337]
Search segment 1, latency: 11887791.57, target: 4516023.9, partition: [18 40 73  1], latencies(ns): [ 4464641 11887791 35031560   580337]
Search segment 1, latency: 11382804.28, target: 4516023.9, partition: [18 39 74  1], latencies(ns): [ 4464641 11382804 35479963   580337]
Search segment 1, latency: 10833348.75, target: 4516023.9, partition: [18 38 75  1], latencies(ns): [ 4464641 10833348 36004952   580337]
Search segment 1, latency: 10382908.74, target: 4516023.9, partition: [18 37 76  1], latencies(ns): [ 4464641 10382908 36209344   580337]
Search segment 1, latency: 10453500.95, target: 4516023.9, partition: [18 36 77  1], latencies(ns): [ 4464641 10453500 36944920   580337]
Search segment 1, latency: 9763791.87, target: 4516023.9, partition: [18 35 78  1], latencies(ns): [ 4464641  9763791 36459122   580337]
Search segment 1, latency: 9842572.14, target: 4516023.9, partition: [18 34 79  1], latencies(ns): [ 4464641  9842572 36572267   580337]
Search segment 1, latency: 9965229.75, target: 4516023.9, partition: [18 33 80  1], latencies(ns): [ 4464641  9965229 37287285   580337]
Search segment 1, latency: 9506531.68, target: 4516023.9, partition: [18 32 81  1], latencies(ns): [ 4464641  9506531 37651008   580337]
Search segment 1, latency: 9221310.53, target: 4516023.9, partition: [18 31 82  1], latencies(ns): [ 4464641  9221310 37933341   580337]
Search segment 1, latency: 8864903.53, target: 4516023.9, partition: [18 30 83  1], latencies(ns): [ 4464641  8864903 38063173   580337]
Search segment 1, latency: 8422745.87, target: 4516023.9, partition: [18 29 84  1], latencies(ns): [ 4464641  8422745 38416656   580337]
Search segment 1, latency: 8121784.9, target: 4516023.9, partition: [18 28 85  1], latencies(ns): [ 4464641  8121784 38637054   580337]
Search segment 1, latency: 7870427.41, target: 4516023.9, partition: [18 27 86  1], latencies(ns): [ 4464641  7870427 38975082   580337]
